ymdhm,wl_1018662,wl_1018680,wl_1018683,wl_1019630
2022-06-01 00:00,282.76938,273.43286,270.54996,0.0
2022-06-01 00:10,282.7574,273.42175,270.5385,0.0
2022-06-01 00:20,282.82578,273.4853,270.60376,0.0
2022-06-01 00:30,282.83728,273.49597,270.61475,0.0
2022-06-01 00:40,283.2422,273.87213,271.00104,0.0
2022-06-01 00:50,282.9309,273.58295,270.70407,0.0
2022-06-01 01:00,283.00845,273.65497,270.77805,0.0
2022-06-01 01:10,283.03378,273.67853,270.80225,0.0
2022-06-01 01:20,282.80853,273.46924,270.58728,0.0
2022-06-01 01:30,282.8075,273.46832,270.5863,0.0
2022-06-01 01:40,282.75006,273.41495,270.53156,0.0
2022-06-01 01:50,282.71875,273.38583,270.50165,0.0
2022-06-01 02:00,282.7002,273.3686,270.48395,0.0
2022-06-01 02:10,282.69446,273.36328,270.47845,0.0
2022-06-01 02:20,282.6909,273.35995,270.47507,0.0
2022-06-01 02:30,282.69415,273.363,270.4782,0.0
2022-06-01 02:40,237.32497,230.66156,229.73245,0.0
2022-06-01 02:50,282.74234,273.40778,270.52417,0.0
2022-06-01 03:00,282.69138,273.3604,270.47552,0.0
2022-06-01 03:10,282.6943,273.36316,270.47833,0.0
2022-06-01 03:20,282.69662,273.3653,270.48053,0.0
2022-06-01 03:30,282.6973,273.3659,270.4812,0.0
2022-06-01 03:40,282.69223,273.3612,270.47638,0.0
2022-06-01 03:50,282.694,273.36285,270.47803,0.0
2022-06-01 04:00,282.6895,273.3587,270.47375,0.0
2022-06-01 04:10,282.68774,273.35706,270.4721,0.0
2022-06-01 04:20,282.68893,273.35815,270.4732,0.0
2022-06-01 04:30,282.68857,273.3578,270.47284,0.0
2022-06-01 04:40,282.6889,273.3581,270.4732,0.0
2022-06-01 04:50,282.6894,273.35858,270.47363,0.0
2022-06-01 05:00,282.68927,273.35846,270.4735,0.0
2022-06-01 05:10,282.69025,273.35938,270.4745,0.0
2022-06-01 05:20,282.6858,273.35522,270.4702,0.0
2022-06-01 05:30,282.6895,273.3587,270.47375,0.0
2022-06-01 05:40,282.68817,273.35742,270.47247,0.0
2022-06-01 05:50,282.68826,273.3575,270.47253,0.0
2022-06-01 06:00,282.6883,273.35754,270.4726,0.0
2022-06-01 06:10,282.6884,273.35764,270.4727,0.0
2022-06-01 06:20,282.688,273.3573,270.4723,0.0
2022-06-01 06:30,282.68802,273.3573,270.47235,0.0
2022-06-01 06:40,282.68777,273.35706,270.4721,0.0
2022-06-01 06:50,282.68784,273.35712,270.47217,0.0
2022-06-01 07:00,282.69012,273.35925,270.47437,0.0
2022-06-01 07:10,282.69025,273.35938,270.4745,0.0
2022-06-01 07:20,282.69385,273.3627,270.4779,0.0
2022-06-01 07:30,282.69043,273.35953,270.4746,0.0
2022-06-01 07:40,282.68866,273.35788,270.47293,0.0
2022-06-01 07:50,282.6892,273.3584,270.47345,0.0
2022-06-01 08:00,282.69226,273.36124,270.47638,0.0
